Accuracy: 0.83
Macro Avg Precision: 0.56
Weighted Avg Precision: 0.8
+----+-----------+-------------+----------+-----------+
|    | label     |   precision |   recall |   support |
|----+-----------+-------------+----------+-----------|
|  0 | abb       |    0        | 0        |         1 |
|  1 | animal    |    0.722222 | 0.8125   |        16 |
|  2 | body      |    0        | 0        |         2 |
|  3 | city      |    0.9375   | 0.833333 |        18 |
|  4 | color     |    1        | 1        |        10 |
|  5 | count     |    0.5625   | 1        |         9 |
|  6 | country   |    1        | 1        |         3 |
|  7 | cremat    |    0        | 0        |         0 |
|  8 | currency  |    0        | 0        |         6 |
|  9 | date      |    0.979167 | 1        |        47 |
| 10 | def       |    0.953125 | 0.99187  |       123 |
| 11 | desc      |    1        | 1        |        10 |
| 12 | dismed    |    0        | 0        |         2 |
| 13 | dist      |    1        | 0.375    |        16 |
| 14 | event     |    1        | 0.5      |         2 |
| 15 | exp       |    1        | 0.625    |         8 |
| 16 | food      |    0.6      | 0.75     |         4 |
| 17 | gr        |    0.625    | 0.833333 |         6 |
| 18 | ind       |    0.982143 | 1        |        55 |
| 19 | instru    |    0        | 0        |         1 |
| 20 | lang      |    1        | 1        |         2 |
| 21 | manner    |    1        | 1        |         2 |
| 22 | money     |    0.333333 | 1        |         3 |
| 23 | mount     |    0        | 0        |         3 |
| 24 | other     |    0.622449 | 0.824324 |        74 |
| 25 | perc      |    0        | 0        |         3 |
| 26 | period    |    0.571429 | 1        |         8 |
| 27 | plant     |    0        | 0        |         5 |
| 28 | product   |    1        | 0.25     |         4 |
| 29 | reason    |    1        | 1        |         6 |
| 30 | speed     |    0        | 0        |         6 |
| 31 | sport     |    0.5      | 1        |         1 |
| 32 | state     |    0.636364 | 1        |         7 |
| 33 | substance |    0.75     | 0.6      |        15 |
| 34 | techmeth  |    0        | 0        |         1 |
| 35 | temp      |    0        | 0        |         5 |
| 36 | termeq    |    0.857143 | 0.857143 |         7 |
| 37 | title     |    0        | 0        |         1 |
| 38 | veh       |    0.666667 | 0.5      |         4 |
| 39 | weight    |    1        | 0.25     |         4 |
+----+-----------+-------------+----------+-----------+
